from,to,relation
EsFiPr,Tri,1
PlPr,Tri,1
CoOf,Tri,1
SvTeAb,Tri,1
ArFrCi,Tri,1
NoFi,Tri,1
He,Tri,1
BoCaFiSa,Tri,1
SoFi,Tri,1
SoPaDePr,Tri,2
Fi,Tri,2
NoFiTv,EsFiPr,2
NoFiTv,PlPr,2
NoFiTv,CoOf,2
NoFiTv,SvTeAb,2
NoFiTv,ArFrCi,2
NoFiTv,NoFi,2
NoFiTv,He,2
NoFiTv,BoCaFiSa,2
NoFiTv,SoFi,2
NoFiTv,SoPaDePr,2
NoFiTv,Tri,2
GrFiCe,Tri,2
MeBe,Tri,2
MoFiHaSc,Tri,2
FiIVä,Tri,2
DeDaFi,Tri,2
BrFiIn,Tri,2
SvFi,Tri,2
CrEuMe,Tri,2
Eu,Tri,2
phbo,Tri,1
erhe,Tri,1
clkö,Tri,1
phbo,erhe,3
erhe,phbo,3
clkö,erhe,3
clkö,phbo,3
phbo,clkö,3
erhe,clkö,3
Fi,EsFiPr,2
GrFiCe,EsFiPr,2
MeBe,EsFiPr,2
MoFiHaSc,EsFiPr,2
FiIVä,EsFiPr,2
DeDaFi,EsFiPr,2
BrFiIn,EsFiPr,2
SvFi,EsFiPr,2
CrEuMe,EsFiPr,2
Eu,EsFiPr,2
Fi,PlPr,2
GrFiCe,PlPr,2
MeBe,PlPr,2
MoFiHaSc,PlPr,2
FiIVä,PlPr,2
DeDaFi,PlPr,2
BrFiIn,PlPr,2
SvFi,PlPr,2
CrEuMe,PlPr,2
Eu,PlPr,2
Fi,CoOf,2
GrFiCe,CoOf,2
MeBe,CoOf,2
MoFiHaSc,CoOf,2
FiIVä,CoOf,2
DeDaFi,CoOf,2
BrFiIn,CoOf,2
SvFi,CoOf,2
CrEuMe,CoOf,2
Eu,CoOf,2
Fi,SvTeAb,2
GrFiCe,SvTeAb,2
MeBe,SvTeAb,2
MoFiHaSc,SvTeAb,2
FiIVä,SvTeAb,2
DeDaFi,SvTeAb,2
BrFiIn,SvTeAb,2
SvFi,SvTeAb,2
CrEuMe,SvTeAb,2
Eu,SvTeAb,2
Fi,ArFrCi,2
GrFiCe,ArFrCi,2
MeBe,ArFrCi,2
MoFiHaSc,ArFrCi,2
FiIVä,ArFrCi,2
DeDaFi,ArFrCi,2
BrFiIn,ArFrCi,2
SvFi,ArFrCi,2
CrEuMe,ArFrCi,2
Eu,ArFrCi,2
Fi,NoFi,2
GrFiCe,NoFi,2
MeBe,NoFi,2
