from,to,relation
De,Quo,1
CoNeFi,Quo,1
DiCu,Quo,1
N2En,Quo,1
RaFiPr,Quo,1
ExEm,Quo,1
InPr,Quo,1
ToAs,Quo,1
Fi,Quo,2
MeBe,Quo,2
OrFi,Quo,2
ÖsFi,Quo,2
PoFi,Quo,2
jazb,Quo,1
daib,Quo,1
jazb,daib,3
daib,jazb,3
Fi,De,2
MeBe,De,2
OrFi,De,2
ÖsFi,De,2
PoFi,De,2
Fi,CoNeFi,2
MeBe,CoNeFi,2
OrFi,CoNeFi,2
ÖsFi,CoNeFi,2
PoFi,CoNeFi,2
Fi,DiCu,2
MeBe,DiCu,2
OrFi,DiCu,2
ÖsFi,DiCu,2
PoFi,DiCu,2
Fi,N2En,2
MeBe,N2En,2
OrFi,N2En,2
ÖsFi,N2En,2
PoFi,N2En,2
Fi,RaFiPr,2
MeBe,RaFiPr,2
OrFi,RaFiPr,2
ÖsFi,RaFiPr,2
PoFi,RaFiPr,2
Fi,ExEm,2
MeBe,ExEm,2
OrFi,ExEm,2
ÖsFi,ExEm,2
PoFi,ExEm,2
Fi,InPr,2
MeBe,InPr,2
OrFi,InPr,2
ÖsFi,InPr,2
PoFi,InPr,2
Fi,ToAs,2
MeBe,ToAs,2
OrFi,ToAs,2
ÖsFi,ToAs,2
PoFi,ToAs,2
De,jazb,3
CoNeFi,jazb,3
DiCu,jazb,3
N2En,jazb,3
RaFiPr,jazb,3
ExEm,jazb,3
InPr,jazb,3
ToAs,jazb,3
jazb,De,3
jazb,CoNeFi,3
jazb,DiCu,3
jazb,N2En,3
jazb,RaFiPr,3
jazb,ExEm,3
jazb,InPr,3
jazb,ToAs,3
De,daib,3
CoNeFi,daib,3
DiCu,daib,3
N2En,daib,3
RaFiPr,daib,3
ExEm,daib,3
InPr,daib,3
ToAs,daib,3
daib,De,3
daib,CoNeFi,3
daib,DiCu,3
daib,N2En,3
daib,RaFiPr,3
daib,ExEm,3
daib,InPr,3
daib,ToAs,3
NoFi,Ano,1
FiIVä,Ano,2
DeDaFi,Ano,2
Eu,Ano,2
NeFiFu,Ano,2
SwFiIn,Ano,2
NeFiPrIn,Ano,2
CrEuMe,Ano,2
kadi,Ano,1
sijo,Ano,1
kadi,sijo,3
sijo,kadi,3
FiIVä,NoFi,2
DeDaFi,NoFi,2
Eu,NoFi,2
NeFiFu,NoFi,2
SwFiIn,NoFi,2
NeFiPrIn,NoFi,2
CrEuMe,NoFi,2
NoFi,sijo,3
sijo,NoFi,3
kadi,NoFi,3
NoFi,kadi,3
